timestamp,gym_id,city,address,prediction,prediction_interval_low,prediction_interval_high,uncertainty_abs_error_p80,uncertainty_method,model,is_weekend,is_open_estimated,business_hours,is_public_holiday_ua,is_gym_closed_holiday,is_major_low_traffic_holiday,is_major_holiday_window,holiday_effect_multiplier,temperature_2m,precipitation,cloud_cover,wind_speed_10m
2026-05-27 23:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,13.4,0.0,20.0,8.6
2026-05-27 23:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,13.4,0.0,20.0,8.6
2026-05-28 00:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,12.3,0.0,3.0,7.4
2026-05-28 00:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,12.3,0.0,3.0,7.4
2026-05-28 00:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,12.3,0.0,3.0,7.4
2026-05-28 01:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,11.7,0.0,35.0,8.9
2026-05-28 01:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,11.7,0.0,35.0,8.9
2026-05-28 01:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,11.7,0.0,35.0,8.9
2026-05-28 02:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,11.2,0.0,68.0,12.4
2026-05-28 02:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,11.2,0.0,68.0,12.4
2026-05-28 02:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,11.2,0.0,68.0,12.4
2026-05-28 03:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,10.7,0.0,100.0,14.6
2026-05-28 03:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,10.7,0.0,100.0,14.6
2026-05-28 03:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,10.7,0.0,100.0,14.6
2026-05-28 04:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.7,0.0,67.0,14.6
2026-05-28 04:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.7,0.0,67.0,14.6
2026-05-28 04:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.7,0.0,67.0,14.6
2026-05-28 05:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,8.6,0.0,33.0,13.4
2026-05-28 05:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,8.6,0.0,33.0,13.4
2026-05-28 05:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,8.6,0.0,33.0,13.4
2026-05-28 06:00:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,8.2,0.0,0.0,12.7
2026-05-28 06:20:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,8.2,0.0,0.0,12.7
2026-05-28 06:40:00,gym_001,Івано-Франківськ,Велес,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,8.2,0.0,0.0,12.7
2026-05-28 07:00:00,gym_001,Івано-Франківськ,Велес,12.954,8.133,17.775,4.821,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,9.2,0.0,4.0,13.3
2026-05-28 07:20:00,gym_001,Івано-Франківськ,Велес,15.232,10.411,20.053,4.821,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,9.2,0.0,4.0,13.3
2026-05-28 07:40:00,gym_001,Івано-Франківськ,Велес,17.4,12.579,22.221,4.821,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,9.2,0.0,4.0,13.3
2026-05-28 08:00:00,gym_001,Івано-Франківськ,Велес,22.356,15.406,29.307,6.951,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,11.1,0.0,9.0,14.4
2026-05-28 08:20:00,gym_001,Івано-Франківськ,Велес,24.98,18.029,31.931,6.951,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,11.1,0.0,9.0,14.4
2026-05-28 08:40:00,gym_001,Івано-Франківськ,Велес,27.712,20.761,34.662,6.951,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,11.1,0.0,9.0,14.4
2026-05-28 09:00:00,gym_001,Івано-Франківськ,Велес,31.054,26.098,36.01,4.956,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,12.8,0.0,13.0,15.7
2026-05-28 09:20:00,gym_001,Івано-Франківськ,Велес,33.402,28.447,38.358,4.956,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,12.8,0.0,13.0,15.7
2026-05-28 09:40:00,gym_001,Івано-Франківськ,Велес,35.52,30.565,40.476,4.956,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,12.8,0.0,13.0,15.7
2026-05-28 10:00:00,gym_001,Івано-Франківськ,Велес,35.648,31.299,39.997,4.349,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.2,0.0,23.0,17.2
2026-05-28 10:20:00,gym_001,Івано-Франківськ,Велес,35.648,31.299,39.997,4.349,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.2,0.0,23.0,17.2
2026-05-28 10:40:00,gym_001,Івано-Франківськ,Велес,35.648,31.299,39.997,4.349,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.2,0.0,23.0,17.2
2026-05-28 11:00:00,gym_001,Івано-Франківськ,Велес,35.571,27.564,43.579,8.008,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,15.5,0.0,33.0,19.1
2026-05-28 11:20:00,gym_001,Івано-Франківськ,Велес,35.571,27.564,43.579,8.008,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,15.5,0.0,33.0,19.1
2026-05-28 11:40:00,gym_001,Івано-Франківськ,Велес,35.604,27.596,43.611,8.008,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,15.5,0.0,33.0,19.1
2026-05-28 12:00:00,gym_001,Івано-Франківськ,Велес,35.964,28.8,43.127,7.163,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,16.6,0.0,43.0,20.3
2026-05-28 12:20:00,gym_001,Івано-Франківськ,Велес,35.964,28.8,43.127,7.163,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,16.6,0.0,43.0,20.3
2026-05-28 12:40:00,gym_001,Івано-Франківськ,Велес,35.709,28.545,42.872,7.163,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,16.6,0.0,43.0,20.3
2026-05-28 13:00:00,gym_001,Івано-Франківськ,Велес,35.788,27.742,43.834,8.046,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,17.3,0.0,61.0,21.6
2026-05-28 13:20:00,gym_001,Івано-Франківськ,Велес,35.756,27.71,43.801,8.046,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,17.3,0.0,61.0,21.6
2026-05-28 13:40:00,gym_001,Івано-Франківськ,Велес,35.788,27.742,43.834,8.046,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,17.3,0.0,61.0,21.6
2026-05-28 14:00:00,gym_001,Івано-Франківськ,Велес,35.834,29.468,42.199,6.366,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,18.0,0.0,79.0,22.7
2026-05-28 14:20:00,gym_001,Івано-Франківськ,Велес,35.834,29.468,42.199,6.366,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,18.0,0.0,79.0,22.7
