gym_id,city,address,rows,mae,rmse,avg_actual,avg_prediction
gym_014,Рівне,Цум,208,9.851204754538294,13.151844505656346,51.10576923076923,53.13524062747616
gym_008,Київ,Деміївська,208,9.017683528134087,12.95946476235396,72.29807692307692,71.47781964822791
gym_013,Львів,Чорновола,208,9.016576908709364,13.973946269550542,78.55288461538461,79.5616424031714
gym_003,Бровари,Героїв України,208,8.388026651919956,11.446450231944201,37.66826923076923,37.29385757491194
gym_010,Київ,Ревуцького,208,8.288841476509372,12.368575824233153,49.36538461538461,49.930661022617635
gym_012,Львів,Стрийська,208,7.352384569573065,10.689078950760077,57.49519230769231,56.97190796012613
gym_016,Черкаси,Смілянська,208,7.309213296585894,10.45566624244279,47.83653846153846,48.89671122790475
gym_015,Хмельницький,Січових стрільців,208,6.581618525777895,9.716244087303004,55.63461538461539,55.622164254446645
gym_004,Бровари,Запорожців,208,6.142117634698125,8.910473028382038,30.173076923076923,31.493446221946932
gym_011,Київ,Тираспольська,208,4.992406780846216,6.992827572496513,29.221153846153847,30.085120903948596
gym_009,Київ,Жилянська,208,4.96988902593829,6.891989560024914,29.283653846153847,30.14792579843771
gym_006,Житомир,Лятошинського,208,4.9145708287018754,6.798922639904922,34.19230769230769,34.92115881953903
gym_007,Київ,Городок,208,4.9086855166237,7.029527604771553,24.822115384615383,26.373770349598864
gym_001,Івано-Франківськ,Велес,208,4.641067436877505,6.332188327166401,39.72115384615385,40.27485449579379
gym_005,Вінниця,Петроцентр,208,4.588307464114093,6.1667181112669445,43.77403846153846,43.72398162383338
gym_002,Бориспіль,Київський шлях,208,4.194477493338822,5.889793863407507,21.129807692307693,21.79334811672237
