feature_set,model,train_rows,test_rows,matched_weather_rows,mae,rmse,wape
base_with_weather,hist_gradient_boosting,13269,3328,16597,6.5723,9.7546,0.1497
base_without_weather,hist_gradient_boosting,13269,3328,16597,6.5896,9.7668,0.1501
