model,scope,train_rows,test_rows,mae,rmse,wape,reps_mae,reps_rmse,rep_range_hit_rate
hybrid_ridge_weight_policy_reps,next_set_progression,438,147,5.997,13.752,,0.891,1.505,0.735
extra_trees,next_set_progression,438,147,6.175,12.738,,1.034,1.289,0.694
random_forest,next_set_progression,438,147,6.272,14.196,,1.065,1.304,0.721
policy_baseline,next_set_progression,438,147,6.999,14.247,,0.891,1.505,0.735
ridge,next_set_progression,438,147,5.997,13.752,,3.66,6.104,0.571
